id_prot,id_localisation
0,0
0,1
1,2
2,0
2,3
3,3
4,4
5,0
5,1
6,5
7,0
8,0
8,1
9,0
9,1
10,6
11,7
12,7
13,4
13,8
14,0
14,1
15,4
16,3
16,0
17,3
17,0
18,0
19,3
20,0
21,0
21,1
22,5
23,4
23,7
24,6
25,3
25,4
26,0
27,2
28,7
29,9
29,3
30,0
30,1
31,4
31,8
32,5
33,8
34,3
34,10
35,11
35,9
36,7
37,0
38,12
39,4
39,6
40,0
41,13
41,8
42,3
43,0
43,3
44,0
44,1
45,0
45,1
46,9
47,8
48,6
49,8
50,3
50,0
51,4
51,3
52,3
53,0
53,3
54,14
55,4
56,4
57,7
58,4
59,4
60,0
61,0
62,8
63,4
64,0
64,1
65,7
66,0
66,3
67,2
68,7
68,6
69,11
69,9
70,3
71,4
72,0
72,3
73,5
74,14
75,6
76,0
77,0
78,4
79,14
80,0
81,15
81,4
82,14
82,16
83,0
83,1
84,0
85,0
85,3
86,0
86,1
87,4
87,11
88,7
89,5
90,3
90,0
91,0
91,1
92,0
92,1
93,0
93,5
94,3
94,17
95,5
96,0
97,15
97,4
98,4
99,4
100,4
100,8
101,0
101,3
102,4
103,0
104,6
105,5
106,0
107,4
108,8
109,0
109,1
110,3
110,0
111,0
112,0
112,1
113,6
114,0
115,2
116,8
116,18
117,4
118,0
118,19
119,4
120,0
120,3
121,0
121,3
122,0
122,1
123,9
124,0
124,1
125,4
126,7
127,11
127,9
128,0
128,1
129,15
129,4
130,9
131,0
131,19
132,0
132,1
133,0
133,1
134,4
135,0
136,0
136,3
137,0
137,3
138,4
139,5
140,9
141,0
141,1
142,5
143,0
144,4
145,3
146,4
146,8
147,0
147,1
148,4
149,3
149,17
150,3
151,0
151,3
152,8
153,6
154,5
155,17
156,0
156,1
157,3
158,11
159,0
160,0
162,5
164,4
165,4
167,4
168,8
169,1
171,0
173,11
174,0
175,9
176,3
178,4
180,5
181,4
182,4
184,0
185,0
186,16
187,3
189,0
191,3
193,7
194,4
196,0
197,0
198,4
199,14
201,0
203,8
204,4
206,4
207,0
208,21
209,0
211,4
213,0
214,7
215,8
217,0
219,0
221,17
222,0
223,8
224,1
226,4
227,0
228,4
229,0
230,14
231,4
232,19
233,19
235,3
237,0
238,0
239,0
240,0
242,0
243,0
245,0
246,0
247,6
249,0
251,7
252,3
254,20
255,21
256,3
257,4
258,1
260,2
262,0
263,6
265,21
266,0
267,0
269,14
271,9
273,4
275,8
276,0
277,3
279,9
281,7
282,1
283,1
285,0
286,0
287,14
289,0
290,3
291,8
293,0
294,0
295,22
296,5
298,0
299,6
301,4
302,6
304,0
305,18
306,4
308,3
309,3
310,3
311,0
312,0
313,19
315,0
316,0
317,8
318,7
320,0
321,18
322,1
323,9
325,6
327,9
329,2
331,0
332,0
333,4
334,3
335,4
337,0
338,3
339,1
340,3
342,0
343,3
344,9
345,8
347,15
348,7
350,11
351,3
352,4
354,7
356,4
358,4
359,16
361,0
362,8
363,0
364,20
365,0
366,9
368,0
369,0
370,7
371,8
372,4
374,6
376,3
378,0
379,7
380,11
381,0
382,18
383,1
384,8
385,1
387,15
388,11
390,0
392,0
394,3
396,4
397,7
398,7
400,0
401,3
402,19
404,14
406,4
408,3
410,0
411,6
412,4
414,4
415,1
416,0
418,0
419,4
420,1
422,7
424,4
426,0
428,4
429,0
431,9
432,2
433,1
435,0
436,0
437,0
439,0
440,0
442,6
443,19
444,1
446,0
447,1
449,3
450,0
451,4
453,0
454,0
455,1
456,3
457,19
459,4
460,3
461,4
462,0
464,5
465,0
467,4
469,0
470,15
471,14
473,3
474,0
159,1
161,5
163,3
165,20
166,0
168,13
169,0
170,14
172,14
173,9
175,3
176,9
177,2
179,0
180,0
181,7
183,0
184,3
185,3
186,14
188,7
190,4
192,0
194,15
195,0
196,3
197,1
199,8
200,9
202,0
203,16
205,14
206,8
207,1
208,9
210,0
212,0
213,3
215,4
216,4
218,6
220,6
221,4
223,4
224,0
225,0
226,20
227,3
228,7
229,1
230,7
232,0
233,0
234,0
236,3
237,1
238,1
239,1
241,4
242,3
244,0
245,19
246,19
248,4
250,4
252,0
253,0
254,4
255,6
256,4
258,0
259,4
261,0
262,3
264,7
265,9
266,1
268,5
270,4
272,6
274,4
275,18
276,1
278,5
280,4
282,0
283,0
284,0
285,3
287,7
288,5
290,0
291,3
292,0
293,1
