accn,id_localisation
AAA21834,[7]
AAB22979,[4]
AAB26491,"[11, 4]"
AAB58380,[3]
AAC05132,[7]
AAF79116,"[3, 0]"
AAH13446,"[9, 4]"
AAH18216,[4]
AAH21481,"[4, 3]"
AAH42502,"[0, 1]"
AAH51967,"[3, 0]"
AAH55899,"[3, 0]"
AAH56229,[5]
AAH66045,[0]
AAH80860,"[15, 4]"
AAH94442,[5]
AAH99955,[0]
AAI11867,[4]
AAO60156,"[6, 21]"
BAA32530,[4]
BAA34723,[4]
BAB03270,[4]
BAB25270,[0]
BAB26119,[6]
BAC26486,[4]
BAC26693,"[18, 8]"
BAC27610,[0]
BAC28332,"[4, 26]"
BAC28963,"[15, 4]"
BAC30915,[4]
BAC32962,[3]
BAC33191,[0]
BAC36988,[14]
BAC38190,[7]
BAC39009,"[0, 1]"
BAC39267,[9]
BAE25624,[0]
BAE27685,"[1, 0]"
BAE29238,[0]
BAE29484,"[1, 0]"
BAE35758,[6]
BAE35808,[0]
BAE41059,[6]
BAE93682,"[3, 0]"
ENSMUSP00000001652,"[4, 8]"
ENSMUSP00000027056,"[19, 0]"
ENSMUSP00000033821,[7]
ENSMUSP00000064046,"[8, 4]"
ENSMUSP00000086745,[7]
ENSMUSP00000094874,"[3, 0]"
